Threads critical_time critical_dev parallel_time parallel_dev
1 0.01851323 0.00055908 0.00067615 0.00006363
2 0.04336309 0.00663080 0.00034185 0.00004573
4 0.05433493 0.00759542 0.00017528 0.00003138
8 0.07610943 0.01873659 0.00009653 0.00003923
16 0.16056576 0.01092594 0.00009747 0.00005350
20 0.14839750 0.02000919 0.00008190 0.00006568
24 0.21657487 0.01732689 0.00012303 0.00045699
28 0.14684535 0.01281068 0.00009621 0.00040444
32 0.21328989 0.01281599 0.00010953 0.00048797
